postnummer,antall
1350,1
1389,6
1461,2
1475,11
1480,59
1488,2
1514,9
1544,1
1550,3
1570,1
1580,48
1591,12
1592,31
1593,46
1615,33
1622,1
1623,37
1626,17
1634,32
1640,11
1643,8
1659,9
1667,18
1680,18
1708,34
1712,17
1714,7
1719,17
1730,48
1735,52
1739,3
1746,31
1747,93
1763,41
1764,32
1765,50
1766,14
1769,3
1783,4
1788,9
1789,31
1791,1
1792,2
1793,6
1794,23
1796,17
1798,86
1814,12
1815,11
1816,83
1820,1
1821,74
1825,16
1827,69
1850,10
1852,66
1859,13
1860,84
1866,80
1870,272
1875,1
1878,46
1880,97
1890,488
1892,109
1894,218
1900,31
1903,91
1910,31
1911,43
1912,23
1920,3
1923,13
1925,13
1927,2
1930,128
1940,66
1950,114
1954,96
1960,310
1963,76
1970,279
2000,9
2008,2
2009,1
2015,2
2016,7
2020,11
2022,6
2030,2
2032,2
2034,3
2040,15
2054,4
2055,2
2056,4
2067,8
2074,2
2080,20
2090,20
2092,3
2093,37
2100,135
2110,47
2114,78
2116,43
2120,223
2123,50
2130,53
2133,114
2134,31
2150,8
2160,3
2164,45
2166,4
2208,2
2210,52
2211,29
2212,14
2213,18
2214,4
2216,104
2217,44
2218,30
2219,90
2220,27
2223,42
2224,110
2230,256
2232,41
2233,28
2235,28
2240,95
2256,42
2260,96
2264,51
2265,46
2266,163
2270,44
2280,153
2283,65
2312,3
2320,17
2323,4
2324,3
2330,2
2332,4
2335,6
2337,4
2338,4
2340,30
2345,7
2350,71
2353,24
2355,26
2364,26
2365,36
2372,117
2386,23
2387,30
2388,22
2390,13
2406,38
2410,118
2412,104
2413,3
2415,80
2416,29
2420,210
2422,61
2423,39
2425,26
2427,8
2428,29
2429,30
2430,75
2432,14
2435,53
2436,54
2438,9
2440,66
2443,53
2446,6
2448,9
2450,107
2460,45
2476,21
2477,6
2478,3
2480,158
2484,80
2485,93
2500,581
2510,49
2512,46
2540,194
2542,82
2544,8
2550,322
2552,40
2555,25
2560,322
2580,137
2582,35
2584,40
2607,4
2608,4
2610,13
2611,3
2614,2
2616,21
2618,2
2625,2
2630,19
2632,5
2634,21
2635,5
2636,7
2640,18
2642,6
2643,3
2647,26
2651,4
2653,9
2656,3
2657,4
2658,1
2660,4
2662,15
2663,2
2665,41
2666,13
2667,1
2668,11
2669,3
2670,14
2672,3
2676,4
2677,1
2680,35
2682,2
2683,1
2685,7
2686,29
2687,9
2690,25
2693,4
2720,29
2730,57
2740,20
2742,3
2743,6
2750,205
2760,177
2770,34
2819,1
2822,44
2825,87
2827,20
2833,14
2834,24
2836,110
2837,17
2838,144
2839,16
2840,78
2843,105
2846,48
2847,107
2848,128
2849,31
2850,135
2860,24
2861,12
2862,35
2863,42
2864,28
2866,10
2870,162
2879,19
2880,31
2881,51
2890,47
2900,30
2910,16
2917,1
2918,7
2920,12
2923,1
2930,17
2933,1
2936,3
2937,6
2940,15
2943,19
2950,9
2952,6
2953,5
2960,14
2966,20
2967,14
2973,24
2975,21
2977,5
3027,2
3031,5
3039,4
3050,6
3055,4
3057,3
3060,29
3070,22
3073,7
3074,7
3075,89
3077,62
3080,8
3083,3
3089,53
3090,79
3095,18
3125,5
3133,1
3140,4
3144,6
3145,3
3148,1
3157,1
3158,76
3159,1
3160,81
3170,1
3171,2
3174,38
3175,30
3176,4
3178,13
3180,5
3183,1
3184,3
3185,1
3186,2
3189,2
3220,31
3232,21
3233,10
3237,15
3239,1
3242,1
3243,64
3267,32
3268,28
3269,1
3270,9
3271,2
3275,78
3277,42
3280,40
3282,23
3294,62
3295,8
3296,2
3302,37
3303,7
3320,25
3322,69
3330,31
3340,72
3350,313
3355,44
3358,65
3359,97
3360,5
3370,267
3402,5
3403,12
3404,94
3405,135
3406,63
3408,2
3410,127
3414,1
3420,24
3425,5
3427,1
3430,14
3440,17
3442,24
3475,39
3480,96
3482,156
3483,26
3484,52
3490,92
3511,1
3512,71
