avis,ID
Akershus Amtstidende,1
Arbeidets Rett,2
Aura Avis,3
Aust Agder Blad,4
Bergensavisen,5
Bondebladet,6
Budstikka,7
Bygdebladet Randaberg,8
Bygdeposten,9
Dalane Tidende,10
Drammens Tidende,11
Eikerbladet,12
Enebakk Avis,13
Fanaposten,14
Finnmark Dagblad,15
Finnmarken,16
Finnmarksposten,17
Firda,18
Firdaposten,19
Fredriksstad Blad,20
Fremover,21
Gaula,22
Gjengangeren,23
Gjesdalbuen,24
Glåmdalen,25
Hadeland,26
Halden Arbeiderblad,27
Hammerfestingen,28
Hardanger Folkeblad,29
Haugesunds Avis,30
Helgelendingen,31
Avisa Hordaland,32
Avisa Nordland,33
Avisen Agder,34
Indre Akershus Blad,35
Jarlsberg Avis,36
Jærbladet,37
Kragerø Blad Vestmar,38
Kvinnheringen,39
Lierposten,40
Lofot-Tidende,41
Lofotposten,42
Laagendalsposten,43
Moss Avis,44
Nationen,45
Nordhordland,46
Nordlys,47
Nordstrands Blad,48
Oppland Arbeiderblad,49
Porsgrunns Dagblad,50
Rakkestad Avis,51
Rana Blad,52
Ringerikes Blad,53
Ringsaker Blad,54
Rjukan Arbeiderblad,55
Romerikes Blad,56
Røyken og Hurums Avis,57
Sande Avis,58
Sandefjords Blad,59
Sandnesposten,60
Sarpsborg Arbeiderblad,61
Smaalenenes Avis,62
Sogn Avis,63
Solabladet,64
Strandbuen,65
Svelviksposten,66
Sydvesten,67
Sør-Varanger Avis,68
Telemarksavisa,69
Telen,70
Tidens Krav,71
Tvedestrandsposten,72
Tønsbergs Blad,73
Vaksdalposten,74
Varingen,75
Vestby Avis,76
Østlandets Blad,77
Østlands-Posten,78
Østlendingen,79
Øyene,80
Ås Avis,81
Åsane Tidende,82
