avis,Frekvens,postnummer, antall 
47,123456,2092, 1 
47,123456,2214, 1 
47,123456,2848, 1 
47,123456,3405, 1 
47,123456,3530, 1 
47,123456,5419, 1 
47,123456,6690, 1 
47,123456,6868, 1 
47,123456,7550, 1 
47,123456,8150, 1 
47,123456,8400, 1 
47,123456,8407, 1 
47,123456,8409, 1 
47,123456,8410, 2 
47,123456,8450, 5 
47,123456,8470, 1 
47,123456,8480, 2 
47,123456,8484, 1 
47,123456,8488, 1 
47,123456,8514, 2 
47,123456,8520, 1 
47,123456,8530, 2 
47,123456,8534, 2 
47,123456,8540, 1 
47,123456,9020, 261 
47,123456,9021, 7 
47,123456,9023, 13 
47,123456,9027, 42 
47,123456,9030, 25 
47,123456,9034, 1 
47,123456,9040, 56 
47,123456,9042, 31 
47,123456,9043, 16 
47,123456,9045, 25 
47,123456,9046, 61 
47,123456,9050, 119 
47,123456,9055, 58 
47,123456,9056, 22 
47,123456,9057, 17 
47,123456,9060, 74 
47,123456,9062, 22 
47,123456,9064, 31 
47,123456,9068, 23 
47,123456,9102, 81 
47,123456,9103, 40 
47,123456,9105, 27 
47,123456,9106, 25 
47,123456,9107, 51 
47,123456,9108, 7 
47,123456,9109, 13 
47,123456,9110, 5 
47,123456,9118, 8 
47,123456,9120, 11 
47,123456,9130, 43 
47,123456,9131, 6 
47,123456,9132, 13 
47,123456,9135, 12 
47,123456,9136, 18 
47,123456,9138, 2 
47,123456,9140, 3 
47,123456,9143, 33 
47,123456,9144, 38 
47,123456,9146, 30 
47,123456,9147, 53 
47,123456,9151, 67 
47,123456,9152, 27 
47,123456,9153, 19 
47,123456,9154, 21 
47,123456,9157, 9 
47,123456,9158, 10 
47,123456,9159, 1 
47,123456,9161, 20 
47,123456,9162, 11 
47,123456,9163, 2 
47,123456,9180, 63 
47,123456,9181, 2 
47,123456,9190, 1 
47,123456,9192, 4 
47,123456,9193, 1 
47,123456,9194, 8 
47,123456,9195, 6 
47,123456,9300, 79 
47,123456,9302, 13 
47,123456,9303, 24 
47,123456,9304, 6 
47,123456,9307, 8 
47,123456,9308, 2 
47,123456,9309, 6 
47,123456,9310, 38 
47,123456,9311, 32 
47,123456,9321, 45 
47,123456,9322, 8 
47,123456,9325, 69 
47,123456,9334, 22 
47,123456,9336, 9 
47,123456,9350, 30 
47,123456,9357, 5 
47,123456,9360, 39 
47,123456,9372, 13 
47,123456,9373, 5 
47,123456,9376, 1 
47,123456,9380, 3 
47,123456,9381, 3 
47,123456,9385, 6 
47,123456,9386, 6 
47,123456,9388, 2 
47,123456,9389, 4 
47,123456,9392, 11 
47,123456,9393, 1 
47,123456,9395, 2 
47,123456,9402, 1 
47,123456,9404, 7 
47,123456,9406, 6 
47,123456,9415, 1 
47,123456,9419, 1 
47,123456,9440, 4 
47,123456,9445, 3 
47,123456,9450, 7 
47,123456,9455, 1 
47,123456,9470, 11 
47,123456,9475, 5 
47,123456,9510, 4 
47,123456,9511, 1 
47,123456,9517, 1 
47,123456,9518, 1 
47,123456,9519, 1 
47,123456,9520, 5 
47,123456,9540, 1 
47,123456,9545, 1 
47,123456,9595, 1 
47,123456,9600, 1 
47,123456,9620, 2 
47,123456,9730, 2 
47,123456,9770, 3 
47,123456,9790, 1 
47,123456,9840, 1 
47,123456,9843, 1 
47,123456,9911, 1 
47,123456,9935, 1 
16,24,1580, 1 
16,24,2022, 1 
16,24,2636, 1 
16,24,2849, 1 
16,24,2920, 1 
16,24,3073, 1 
16,24,3290, 1 
16,24,3302, 1 
16,24,3430, 1 
16,24,5570, 1 
16,24,5727, 1 
16,24,6600, 1 
16,24,6875, 1 
16,24,7509, 1 
16,24,7580, 1 
16,24,8370, 1 
16,24,8382, 1 
16,24,8484, 1 
16,24,8514, 1 
16,24,8624, 1 
16,24,8664, 1 
16,24,8900, 1 
16,24,9106, 1 
16,24,9300, 3 
16,24,9309, 1 
16,24,9311, 1 
