navn,adresse,postnummer,poststed
JOKER ÅSGÅRDSTRAND,BAKKEGATA 8,3179,ÅSGÅRDSTRAND
Extra Bekkajordet,GAMLEVEIEN 55,3189,HORTEN
KIWI 359 GRØNLIGATA HORTEN,GRØNLIGATA 13,3188,HORTEN
KIWI 360 TORGGATA HORTEN,TORGGATA 9,3181,HORTEN
MENY HORTEN,DAMPEJORDET 1,3189,HORTEN
Circle K Åsgårdstrand,GREV WEDELS GATE 46,3179,ÅSGÅRDSTRAND
SPAR NYKIRKE,KOPSTADVEIEN 3,3180,NYKIRKE
KIWI 565 HOLTANDALEN,GAUPESTIEN 1,3188,HORTEN
MENY BORRE,BORREVEIEN 92,3186,HORTEN
EXTRA HOLTANDALEN,H B HARALDSENS GATE 36,3188,HORTEN
MENY ÅSGÅRDSTRAND,GREV WEDELS GATE 46,3179,ÅSGÅRDSTRAND
SPAR VEKTERGÅRDEN,LANGGATA 2,3187,HORTEN
FAGERHEIM SKOLE,Kopstadveien 14,3180,NYKIRKE
NORDSKOGEN SKOLE,Redaktør Thommessens gate 39,3188,HORTEN
HOLTAN UNGDOMSSKOLE,GRØNLIGATA 23,3188,HORTEN
LILLÅS SKOLE,LILAASVEIEN 7,3189,HORTEN
SENTRUM SKOLE,SENTROVEIEN 5,3182,HORTEN
ÅSGÅRDEN SKOLE,Granåsveien 46,3179,ÅSGÅRDSTRAND
Solhøy Frukt og Tobakk AS,BORREVEIEN 36,3186,HORTEN
REMA 1000 Holtandalen,GRØNLIGATA 19,3188,HORTEN
LYSHEIM SKOLE,ADALSVEIEN 8,3185,SKOPPUM
GRANLY SKOLE,BORREVEIEN 51,3186,HORTEN
HORTEN KOMMUNALE VOKSENOPPLÆRING,NEDRE VEI 18,3183,HORTEN
BAKKEÅSEN SKOLE,Kirkeveien 10,3179,ÅSGÅRDSTRAND
REMA 1000 LINDEN PARK,STRANDPARKEN 3,3187,HORTEN
HORTEN MONTESSORISKOLE,FALKENSTENSVEIEN 349,3189,HORTEN
Extra Horten Handelspark,TRIMVEIEN 41,3188,HORTEN
Esso Horten Veiservice,STORGATA 39,3182,HORTEN
Esso Borre Veiservice,RAVEIEN 11,3184,BORRE
KIWI 556 Skoppum,REIRVEIEN 5,3185,SKOPPUM
REMA 1000 LYSTLUNDEN,MOLOVEIEN 1,3187,HORTEN
SHELL TVEITEN,STORGATA 149,3186,HORTEN
KIWI 966 BORRE,FOGDEVEIEN 10,3184,BORRE
SPAR Kvelde,HOLMFOSSVEIEN 22,3282,KVELDE
MENY ÅSANE,HYSTADVEIEN 290,3231,SANDEFJORD
ESSO KVELDE,HOLMFOSSVEIEN 6,3282,KVELDE
MENY ØYA LARVIK,TJØLLINGVEIEN 45,3262,LARVIK
MENY STAVERN,LARVIKSVEIEN 13,3290,STAVERN
KIWI 350 Torstrand,ALFR ANDERSENS GATE 1,3262,LARVIK
MENY HELGEROA,SØNDERSRØDVEIEN 6,3295,HELGEROA
EXTRA HOVLAND,FRANKENDALSVEIEN 99,3274,LARVIK
FARRIS BAD,STAVERNSVEIEN 3,3264,LARVIK
EXTRA TJØLLING,ØSTBYVEIEN 2,3280,TJODALYNG
KIWI 558 NANSET,KAREN SUNDTS VEI 19,3269,LARVIK
MENY LARVIK SENTRUM,OLAVS GATE 30,3257,LARVIK
CIRCLE K STAVERN,LARVIKSVEIEN 2,3290,STAVERN
MENY GLOPPE,NORDLYLØKKA 1,3260,LARVIK
COOP OBS SANDEFJORD,FOKSERØDVEIEN 23,3241,SANDEFJORD
Alfhild AS,NANSETGATA 116,3269,LARVIK
EXTRA LARVIK,NANSETGATA 11,3256,LARVIK
GAMLE HELGEROA MARINA AS,STRANDEBAKKEN 94,3295,HELGEROA
EUROPRIS NANSET,NANSETGATA 150,3271,LARVIK
KIWI 569 MOVEIEN,MOVEIEN 53,3215,SANDEFJORD
MENY NANSET,YTTERSØVEIEN 2,3274,LARVIK
REMA 1000 STAVERN,HOLMEJORDETVEIEN 31,3267,LARVIK
COOP PRIX TJØLLING,STASJONSVEIEN 1,3280,TJODALYNG
COOP PRIX FRANKENDALSVEIEN,FRANKENDALSVEIEN 95,3274,LARVIK
 EXTRA HOLMEJORDET AVD. 251300,HOLMEJORDETVEIEN 48,3267,LARVIK
DNB AVD LARVIK,SANDEN 1,3264,LARVIK
GARANTI LABO,Prinsegata 4,3256,LARVIK
EIENDOMSMEGLER 1,FRITZØE BRYGGE 4,3264,LARVIK
PRIVATMEGLEREN,BRANNVAKTSGATE 19,3256,LARVIK
LANGESTRAND SKOLE,ROSENDALSGATA 17,3264,LARVIK
SKY SKOLE,KLEIVERVEIEN 151,3268,LARVIK
VERDENSMESTERN MOTTAKSSKOLE,Kristian Fredriks vei 3,3257,LARVIK
KVELDE SKOLE,KVELDEVEIEN 238,3282,KVELDE
HEDRUM BARNESKOLE,Rauanveien 491,3270,LARVIK
REMA 1000 Skreppestad,SKREPPESTADVEIEN 34,3261,LARVIK
REMA 1000 VELDREBAKKEN,ULFSBAKVEIEN 2,3267,LARVIK
ØSTLANDSPOSTEN,TORGET 1,3256,LARVIK
BRUNLA UNGDOMSSKOLE,VARDEVEIEN 34,3292,STAVERN
FAGERLI SKOLE LARVIK,KREMLEVEIEN 5,3271,LARVIK
BERG SKOLE,SØNDERSRØDVEIEN 27,3295,HELGEROA
MESTERFJELLET SKOLE,AHLEFELDTS GATE 6,3262,LARVIK
TJODALYNG SKOLE,VIKVEIEN 12,3280,TJODALYNG
ØSTRE HALSEN SKOLE,STORGATA 29,3256,LARVIK
KIWI 261 FARRISEIDET,BRUNLANESVEIEN 8,3268,LARVIK
FRØY SKOLE,KRÅKEFJELLVEIEN 1,3274,LARVIK
MELLOMHAGEN UNGDOMSSKOLE,MELLOMHAGEN 31,3261,LARVIK
THOR HEYERDAL VGS,HOFFS GATE 6,3262,LARVIK
REMA 1000 Olavsgate,OLAVS GATE 11,3256,LARVIK
Best Tjølling Autosenter,TJØLLINGVEIEN 991,3280,TJODALYNG
KONGSHAUGEN KRISTNE GRUNNSKOLE,GAMLE RAVEI 312,3270,LARVIK
JORDET SKOLE,BRUNLA ALLÉ 196,3267,LARVIK
HEDRUM UNGDOMSSKOLE,VIKINGVEIEN 7,3274,LARVIK
KIWI 429 Hammerdalen,HAMMERGATA 6,3264,LARVIK
Circle K Torstrand,STORGATA 150,3262,LARVIK
REMA 1000 Larvik,GAMLE KONGEVEI 47,3269,LARVIK
Narvesen 490 Hvaltorvet Kjøpesenter,TORGET 7,3210,SANDEFJORD
Fulldekk 3290,ELVEVEIEN 130,3271,LARVIK
ST1 STORGATA LARVIK,STORGATA 61,3256,LARVIK
