avis,Frekvens,postnummer, antall
47,123456,30,  1 
47,123456,121,  1 
47,123456,130,  1 
47,123456,214,  1 
47,123456,315,  1 
47,123456,1251,  1 
47,123456,1372,  1 
47,123456,1440,  1 
47,123456,1455,  1 
47,123456,1470,  1 
47,123456,1476,  1 
47,123456,1702,  1 
47,123456,3035,  1 
47,123456,3126,  1 
47,123456,3202,  1 
47,123456,4002,  1 
47,123456,4351,  1 
47,123456,4631,  1 
47,123456,4870,  1 
47,123456,5007,  1 
47,123456,5052,  1 
47,123456,6012,  1 
47,123456,7011,  1 
47,123456,7491,  1 
47,123456,7651,  1 
47,123456,8001,  1 
47,123456,8012,  1 
47,123456,8048,  1 
47,123456,8401,  2 
47,123456,8469,  1 
47,123456,8483,  1 
47,123456,8502,  2 
47,123456,8505,  1 
47,123456,8546,  1 
47,123456,8601,  1 
47,123456,8607,  2 
47,123456,8651,  1 
47,123456,8805,  1 
47,123456,9006,  121 
47,123456,9007,  149 
47,123456,9008,  159 
47,123456,9009,  71 
47,123456,9010,  97 
47,123456,9011,  96 
47,123456,9012,  59 
47,123456,9013,  138 
47,123456,9014,  108 
47,123456,9015,  92 
47,123456,9016,  164 
47,123456,9017,  88 
47,123456,9018,  93 
47,123456,9019,  123 
47,123456,9022,  195 
47,123456,9024,  208 
47,123456,9037,  44 
47,123456,9038,  6 
47,123456,9049,  1 
47,123456,9059,  3 
47,123456,9069,  2 
47,123456,9100,  67 
47,123456,9101,  32 
47,123456,9104,  22 
47,123456,9119,  1 
47,123456,9141,  1 
47,123456,9148,  4 
47,123456,9156,  8 
47,123456,9169,  2 
47,123456,9185,  1 
47,123456,9189,  3 
47,123456,9252,  2 
47,123456,9253,  2 
47,123456,9254,  1 
47,123456,9255,  2 
47,123456,9256,  4 
47,123456,9257,  3 
47,123456,9258,  1 
47,123456,9259,  3 
47,123456,9261,  3 
47,123456,9266,  1 
47,123456,9267,  1 
47,123456,9269,  4 
47,123456,9270,  1 
47,123456,9271,  2 
47,123456,9273,  1 
47,123456,9275,  1 
47,123456,9278,  6 
47,123456,9283,  1 
47,123456,9284,  1 
47,123456,9291,  9 
47,123456,9293,  2 
47,123456,9294,  7 
47,123456,9296,  1 
47,123456,9299,  4 
47,123456,9305,  5 
47,123456,9326,  4 
47,123456,9335,  3 
47,123456,9355,  1 
47,123456,9358,  2 
47,123456,9365,  3 
47,123456,9403,  2 
47,123456,9405,  6 
47,123456,9407,  1 
47,123456,9409,  3 
47,123456,9411,  3 
47,123456,9414,  1 
47,123456,9442,  1 
47,123456,9451,  1 
47,123456,9471,  1 
47,123456,9479,  3 
47,123456,9480,  7 
47,123456,9483,  2 
47,123456,9485,  1 
47,123456,9488,  1 
47,123456,9504,  1 
47,123456,9509,  2 
47,123456,9615,  1 
47,123456,9616,  1 
47,123456,9811,  1 
47,123456,9915,  1 
47,123456,9991,  2 
16,25,30,  2 
16,25,121,  1 
16,25,175,  1 
16,25,214,  1 
16,25,284,  1 
16,25,563,  1 
16,25,659,  1 
16,25,662,  1 
16,25,675,  1 
16,25,751,  1 
16,25,771,  1 
16,25,1346,  1 
16,25,1351,  1 
16,25,1356,  1 
16,25,1414,  1 
16,25,1470,  1 
16,25,1481,  1 
16,25,1524,  1 
16,25,1871,  1 
16,25,2033,  1 
16,25,3086,  1 
16,25,3257,  1 
16,25,3960,  1 
16,25,4350,  1 
16,25,4631,  1 
16,25,4879,  1 
16,25,5097,  1 
16,25,7041,  1 
16,25,7054,  1 
16,25,7603,  1 
16,25,7605,  1 
16,25,8012,  1 
16,25,8607,  1 
16,25,9008,  1 
16,25,9009,  1 
16,25,9011,  1 
16,25,9014,  1 
16,25,9189,  1 
16,25,9291,  3 
16,25,9299,  1 
16,25,9502,  1 
16,25,9505,  1 
16,25,9616,  2 
16,25,9711,  1 
16,25,9712,  1 
16,25,9772,  2 
16,25,9773,  2 
16,25,9811,  25 
16,25,9815,  1 
16,25,9820,  3 
16,25,9846,  8 
16,25,9915,  11 
16,25,9916,  10 
16,25,9917,  3 
16,25,9951,  6 
16,25,9981,  11 
16,25,9991,  30 
17,24,121,  1 
17,24,686,  1 
17,24,691,  1 
17,24,693,  1 
17,24,1071,  1 
17,24,1348,  2 
17,24,1470,  2 
17,24,1476,  1 
17,24,1771,  1 
17,24,1781,  1 
17,24,2069,  2 
17,24,2305,  1 
17,24,2316,  1 
17,24,3142,  1 
17,24,3970,  1 
17,24,4045,  1 
17,24,4046,  1 
17,24,4734,  1 
17,24,5119,  1 
17,24,6419,  1 
17,24,6601,  1 
17,24,7019,  1 
17,24,7605,  1 
17,24,8007,  1 
17,24,8012,  1 
17,24,8607,  1 
17,24,9006,  2 
17,24,9013,  2 
17,24,9014,  1 
17,24,9015,  2 
17,24,9016,  2 
17,24,9022,  1 
17,24,9405,  1 
17,24,9416,  1 
17,24,9504,  1 
17,24,9509,  1 
17,24,9616,  1 
17,24,9670,  1 
17,24,9691,  1 
17,24,9751,  29 
18,24,121,  1 
18,24,214,  1 
18,24,268,  1 
18,24,424,  1 
18,24,489,  1 
18,24,575,  1 
18,24,591,  1 
18,24,657,  1 
18,24,970,  1 
18,24,987,  1 
18,24,1182,  1 
18,24,1185,  1 
18,24,1284,  1 
18,24,1359,  1 
18,24,1363,  1 
18,24,1365,  1 
18,24,1369,  1 
18,24,1405,  1 
18,24,1407,  1 
18,24,1410,  1 
18,24,1423,  1 
18,24,1433,  1 
18,24,1464,  1 
18,24,1470,  1 
18,24,1476,  1 
18,24,1512,  1 
18,24,1534,  1 
18,24,1560,  1 
18,24,2033,  1 
18,24,2609,  1 
18,24,2619,  1 
18,24,3016,  1 
18,24,3086,  1 
18,24,3228,  1 
18,24,4020,  1 
18,24,4085,  1 
18,24,4160,  1 
18,24,4311,  1 
18,24,4328,  1 
18,24,5005,  1 
18,24,5006,  1 
18,24,5007,  1 
18,24,5015,  1 
18,24,5016,  1 
18,24,5020,  1 
18,24,5021,  2 
18,24,5034,  1 
18,24,5035,  1 
18,24,5039,  1 
18,24,5054,  1 
18,24,5056,  1 
18,24,5081,  1 
18,24,5094,  2 
18,24,5107,  1 
18,24,5109,  1 
18,24,5111,  1 
18,24,5113,  1 
18,24,5114,  1 
18,24,5115,  1 
18,24,5122,  1 
18,24,5131,  1 
18,24,5141,  1 
18,24,5146,  1 
18,24,5152,  1 
